version_id,content_id,value
1,1,1
1,2,2
1,3,Sistema de trazabilidad agricola basado en tecnologia blockchain para exportacion
1,4,"El proyecto es viable tecnica y economicamente, ya que existen plataformas blockchain de codigo abierto que pueden ser adaptadas al sector agricola, y hay creciente demanda de trazabilidad en exportacion."
1,5,"El proyecto se alinea con las lineas de investigacion en transformacion digital y sostenibilidad agricola, promoviendo el uso de tecnologias emergentes en procesos agroindustriales, en coherencia con los objetivos del programa de Ingenieria de Sistemas."
1,6,Si hay docentes disponibles
1,7,"Existe una correspondencia clara entre el titulo y el objetivo del proyecto, ya que ambos se centran en aplicar blockchain a la trazabilidad agricola. El titulo refleja adecuadamente el alcance del objetivo general y el lenguaje es tecnico y pertinente."
1,8,Disenar e implementar un sistema de trazabilidad agricola basado en tecnologia blockchain que garantice la autenticidad y el origen de los productos destinados a exportacion.
1,9,"Diseno e implementacion de un sistema de registro y seguimiento de productos agricolas orientado a la exportacion, utilizando blockchain para garantizar transparencia y autenticidad."
2,1,2
2,2,4
2,3,Asistente virtual inteligente para analizar emociones en centros de atencion telefonica
2,4,"La implementacion es viable debido al avance de tecnologias de procesamiento de voz y modelos de aprendizaje automatico, asi como la disponibilidad de bibliotecas especializadas y datos etiquetados."
2,5,"Pertinente para grupos centrados en inteligencia artificial aplicada a la experiencia de usuario y tecnologias de interaccion hombre-maquina, integrando areas clave del programa como aprendizaje automatico y procesamiento de lenguaje."
2,6,Si hay docentes disponibles
2,7,"El titulo y el objetivo estan bien alineados, mostrando coherencia en el enfoque hacia la implementacion de un sistema inteligente para analisis emocional en llamadas, con claridad y precision en el planteamiento."
2,8,"Desarrollar un asistente virtual inteligente capaz de analizar en tiempo real las emociones de los usuarios en llamadas de atencion al cliente, con el fin de mejorar la calidad del servicio."
2,9,"Desarrollo de un asistente virtual que analiza la voz de los clientes en tiempo real para identificar emociones y estados de animo, con el fin de mejorar la calidad del servicio."
3,1,1
3,2,3
3,3,Aplicacion movil para agricultores: monitoreo de cultivos mediante sensores y satelites
3,4,"Es viable gracias a la existencia de APIs satelitales gratuitas (como Copernicus y NASA) y sensores de bajo costo compatibles con dispositivos moviles, lo cual reduce barreras de entrada para agricultores."
3,5,"Tiene pertinencia con lineas de investigacion en IoT y sistemas moviles aplicados al desarrollo rural y agricola, lo que refuerza el enfoque del programa hacia soluciones tecnologicas con impacto social."
3,6,Si hay docentes disponibles
3,7,"El titulo resume de manera efectiva la propuesta planteada en el objetivo, que se basa en el desarrollo de una app para agricultores. Existe una relacion directa entre el lenguaje tecnico y la finalidad del proyecto."
3,8,"Crear una aplicacion movil que permita a los agricultores monitorear el estado de sus cultivos a traves de sensores y datos satelitales, facilitando la toma de decisiones tecnicas."
3,9,"Creacion de una app que integra datos de sensores y satelites para ayudar a los agricultores a monitorear variables clave como humedad, temperatura y estado de los cultivos."
4,1,2
4,2,2
4,3,Modelo predictivo basado en IA para prevenir fallos en maquinaria industrial pesada
4,4,La viabilidad es alta debido al facil acceso a grandes volumenes de datos de maquinaria industrial y a la madurez de frameworks de inteligencia artificial aplicables a mantenimiento predictivo.
4,5,"El proyecto se relaciona con la investigacion en mantenimiento inteligente y analisis predictivo, promoviendo la aplicacion de IA en la industria, eje fundamental del programa de ingenieria y transformacion digital."
4,6,Si hay docentes disponibles
4,7,"El objetivo y el titulo estan bien formulados y guardan correspondencia, ya que ambos abordan la aplicacion de modelos predictivos para anticipar fallos en maquinaria. Se evidencia claridad y consistencia terminologica."
4,8,"Disenar un modelo predictivo utilizando inteligencia artificial que permita anticipar fallos en maquinaria industrial, optimizando los procesos de mantenimiento preventivo."
4,9,Implementacion de un sistema predictivo utilizando machine learning que analiza patrones de uso y fallas anteriores para anticipar problemas en maquinaria industrial critica.
5,1,2
5,2,2
5,3,Uso de deep learning en la optimizacion dinamica de rutas de entrega urbana
5,4,"El proyecto es viable ya que puede integrarse con sistemas GPS y plataformas de analisis de trafico abiertas, y se beneficia del aumento del comercio electronico que requiere logistica eficiente."
5,5,"Se vincula con el estudio de sistemas inteligentes aplicados a problemas reales de logistica urbana, area de interes para el grupo de investigacion en ciencia de datos e ingenieria aplicada."
5,6,Si hay docentes disponibles
5,7,"Se observa una correspondencia clara entre lo que el titulo comunica y lo que el objetivo pretende alcanzar. Ambos destacan el uso de redes neuronales para mejorar rutas urbanas, manteniendo una alta calidad tecnica."
5,8,Desarrollar un sistema de optimizacion dinamica de rutas de entrega urbana empleando redes neuronales y analisis de variables contextuales en tiempo real.
5,9,"Desarrollo de un algoritmo que optimiza en tiempo real las rutas de distribucion en zonas urbanas, utilizando redes neuronales y datos de trafico, clima y entregas."
6,2,2
6,3,Digital twins aplicados a la automatizacion y eficiencia en centros logisticos
6,8,"Implementar un sistema de gemelos digitales para simular y mejorar procesos logisticos, contribuyendo a la automatizacion y eficiencia de operaciones en centros de distribucion."
6,9,"Investigacion sobre el uso de gemelos digitales para replicar procesos logisticos, mejorar la toma de decisiones y reducir errores en centros de distribucion."
7,3,Herramienta de analisis forense digital para investigar incidentes de ciberseguridad
7,8,"Disenar una herramienta digital que permita la recoleccion y analisis de evidencia en incidentes de ciberseguridad, apoyando el trabajo forense de investigadores y profesionales en seguridad informatica."
7,9,"Diseno de una herramienta basada en software libre que permita recolectar, analizar y presentar evidencia digital tras un ciberataque, facilitando procesos forenses."
8,3,Sistema de alerta temprana de desercion escolar mediante inteligencia artificial
8,8,Construir un sistema de alerta temprana basado en inteligencia artificial que identifique estudiantes con riesgo de desercion escolar y proponga estrategias de retencion educativa.
8,9,"Desarrollo de un sistema que utiliza IA para identificar estudiantes en riesgo de abandono escolar, basado en patrones de asistencia, rendimiento y comportamiento."
9,3,Solucion web inteligente para la recoleccion y clasificacion de residuos urbanos
9,8,"Desarrollar una solucion web inteligente para optimizar la gestion y trazabilidad de residuos solidos urbanos mediante tecnologias de registro, clasificacion y seguimiento."
9,9,"Implementacion de una plataforma web que conecta ciudadanos y gestores de residuos para facilitar la clasificacion, recoleccion y trazabilidad de desechos en ciudades."
10,3,Recomendador inteligente de formacion academica usando perfiles y trayectorias previas
10,8,Disenar un sistema de recomendacion academico que sugiera cursos y trayectorias formativas personalizadas a partir del analisis de datos academicos y preferencias individuales.
10,9,"Diseno de un sistema de recomendacion academica que sugiere cursos o carreras personalizadas segun habilidades, intereses y antecedentes educativos del estudiante."
11,1,2
11,2,2
11,3,Blockchain aplicado al control de calidad y origen en cadenas agroalimentarias
11,4,"El proyecto es viable tecnica y economicamente, ya que existen plataformas blockchain de codigo abierto que pueden ser adaptadas al sector agricola, y hay creciente demanda de trazabilidad en exportacion."
11,5,"El proyecto se alinea con las lineas de investigacion en transformacion digital y sostenibilidad agricola, promoviendo el uso de tecnologias emergentes en procesos agroindustriales, en coherencia con los objetivos del programa de Ingenieria de Sistemas."
11,6,Si hay docentes disponibles
11,7,"Existe una correspondencia clara entre el titulo y el objetivo del proyecto, ya que ambos se centran en aplicar blockchain a la trazabilidad agricola. El titulo refleja adecuadamente el alcance del objetivo general y el lenguaje es tecnico y pertinente."
